CLUSTER,PLOT,PLANT,PLOT_ID,PLANT_ID,CROP_TYPE,CROP_VARIETY,CROP_STAGE,LAT,LON,FRESH_WEIGHT,DRY_WEIGHT,LEAF_AREA,W/L,SLA,LDMC,LWC,EWT,CHL_VALUE,LAI,A470,A649,A664,Ca,Cb,Total_Chl,Carotenoid
C4,C,P1,C4C,C4CP1,Corn,NK6410,,18.04879,120.54221,18.805,6.54,467.8578,0.155227687,53.85852064,0.347779846,1.875382263,0.034820531,117,2.46,0.48,0.22,0.26,2.3318,3.9234,6.2552,1.975652354
C4,C,P2,C4C,C4CP2,Corn,NK6410,,,,17.743,5.837,408.7275556,0.116101124,52.59238479,0.328974807,2.039746445,0.038784065,99,3.15,0.36,0.15,0.29,3.0959,1.7597,4.8556,1.363301429
C4,C,P3,C4C,C4CP3,Corn,NK6410,,,,12.611,6.701,421.2506667,0.134327381,47.65404417,0.53136151,0.881957917,0.018507515,58.8,1.4,0.32,0.12,0.24,2.5836,1.3428,3.9264,1.165498646
C5,A,P1,C5A,C5AP1,Corn,PIONEER,,18.04745,120.5426,18.404,6.63,407.7255,0.10327321,46.86857089,0.360247772,1.77586727,0.037890365,87.4,1.66,0.1,0.04,0.06,0.594,0.61,1.204,0.070766566
C5,A,P2,C5A,C5AP2,Corn,PIONEER,,,,24.339,8.103,525.6,0.101388889,48.96026163,0.33292247,2.003702332,0.040925074,102.2,2.69,0.23,0.12,0.22,2.3164,1.5052,3.8216,0.713152869
C5,A,P3,C5A,C5AP3,Corn,PIONEER,,,,35.621,11.962,697.0888889,0.102834008,43.86664019,0.335813144,1.977846514,0.045087714,91,1.97,0.31,0.16,0.23,2.2424,2.5212,4.7636,1.117802465
C5,B,P1,C5B,C5BP1,Corn,NK6410,,18.04725,12054256,23.726,8.694,492.4781111,0.114208122,42.83272947,0.366433449,1.729008512,0.040366527,90.2,2.4,0.23,0.1,0.13,1.2178,1.6874,2.9052,0.722196899
C5,B,P2,C5B,C5BP2,Corn,NK6410,,,,30.433,9.738,583.083,0.099633987,45.02510783,0.319981599,2.125179708,0.04719988,139,3.8,0.24,0.1,0.23,2.5538,0.8754,3.4292,0.761703566
C5,B,P3,C5B,C5BP3,Corn,NK6410,,,,27.293,9.108,569.9555556,0.102232143,47.1087231,0.333711941,1.996596399,0.042382732,135.6,1.45,0.18,0.1,0.14,1.3514,1.6062,2.9576,0.468571808
C5,C,P1,C5C,C5CP1,Corn,PIONEER,,18.04707,12054246,29.362,10.355,581.65,0.103404444,42.29316755,0.352666712,1.835538387,0.043400353,155.8,3.58,0.15,0.05,0.14,1.6109,0.2347,1.8456,0.314920369
C5,C,P2,C5C,C5CP2,Corn,PIONEER,,,,32.346,11.139,629.698,0.109982379,42.5820316,0.344370247,1.903851333,0.044710204,150.4,3.73,0.24,0.11,0.14,1.2995,1.88,3.1795,0.772029369
C5,C,P3,C5C,C5CP3,Corn,PIONEER,,,,33.7,11.323,640.2970444,0.109030013,42.54386426,0.335994065,1.976243045,0.046451893,145.4,2.85,0.12,0.03,0.09,1.0467,0.0921,1.1388,0.168049894
C6,A,P1,C6A,C6AP1,Corn,,,,,42.207,12.033,796.4916667,0.094789091,49.88496219,0.285094889,2.507604089,0.050267736,100.3333333,,,,,,,0,
C6,A,P2,C6A,C6AP2,Corn,,,,,30.598,11.369,637.0211111,0.124027907,42.01231419,0.371560233,1.691353681,0.040258522,99.33333333,,,,,,,0,
C6,A,P3,C6A,C6AP3,Corn,,,,,42.318,15.313,809.2,0.11468254,39.58074838,0.361855475,1.763534252,0.044555354,,,,,,,,0,
C6,B,P1,C6B,C6BP1,Corn,,,,,37.292,11.425,715.5389222,0.102299721,47.19754923,0.306365977,2.264070022,0.047970076,125,,,,,,,0,
C6,B,P2,C6B,C6BP2,Corn,,,,,29.821,10.686,586.7155556,0.110907424,41.42828233,0.358338084,1.790660678,0.043223146,96.66666667,,,,,,,0,
C6,B,P3,C6B,C6BP3,Corn,,,,,21.859,7.486,602.294,0.101584416,60.37989247,0.342467633,1.91998397,0.0317984,68.66666,,,,,,,0,
C6,C,P1,C6C,C6CP1,Corn,,,,,18.121,6.726,633.542,0.104132479,70.63542596,0.371171569,1.69417187,0.023984734,98,,,,,,,0,
C6,C,P2,C6C,C6CP2,Corn,,,,,30.262,8.737,633.542,0.104132479,54.39537313,0.288711916,2.463660295,0.045291725,101,,,,,,,0,
C6,C,P3,C6C,C6CP3,Corn,,,,,26.815,8.584,597.3368556,0.097264994,52.21134378,0.320119336,2.123835042,0.040677655,115.3333333,,,,,,,0,
C7,A,P1,C7A,C7AP1,Corn,NK8840,,18.04654,120.54739,16.576,6.305,510.6,0.107246377,61.50035686,0.380369208,1.629024584,0.026488051,86,3.51,0.26,0.13,0.23,2.3981,1.6983,4.0964,0.863995439
C7,A,P2,C7A,C7AP2,Corn,NK8840,,,,19.241,6.438,461.1277222,0.103236908,54.39447422,0.334597994,1.988661075,0.036559983,61.8,4.51,0.1,0.05,0.07,0.6757,0.8031,1.4788,0.070093985
C7,A,P3,C7A,C7AP3,Corn,NK8840,,,,27.793,9.541,621.6,0.113513514,49.24571586,0.343287878,1.913007022,0.038846161,91.2,2,0.27,0.14,0.23,2.3462,1.9726,4.3188,0.914927747
C7,B,P1,C7B,C7BP1,Corn,NK8840,,18.04628,120.54725,25.562,9.044,541.5262222,0.126867347,45.22221915,0.353806431,1.826404246,0.04038732,115,3.22,0.27,0.13,0.16,1.4629,2.2667,3.7296,0.922199359
C7,B,P2,C7B,C7BP2,Corn,NK8840,,,,20.332,7.154,431.1419889,0.140306675,45.24632723,0.351859138,1.842046408,0.040711512,107.2,5.24,0.27,0.14,0.27,2.8806,1.6478,4.5284,0.910528394
C7,B,P3,C7B,C7BP3,Corn,NK8840,,,,26.96,9.768,562.0199778,0.12721665,43.33112715,0.36231454,1.76003276,0.040618209,94.8,4.12,0.29,0.1,0.22,2.4202,0.9566,3.3768,1.015328657
C7,C,P1,C7C,C7CP1,Corn,NK8840,,18.04602,120.5471,27.332,9.435,479.7551111,0.122164894,39.37347642,0.345199766,1.896873344,0.048176425,139.4,3.53,0.52,0.11,0.3,3.4371,0.5813,4.0184,2.168573369
C7,C,P2,C7C,C7CP2,Corn,NK8840,,,,19.166,6.626,413.2977333,0.115574136,47.40337308,0.345716373,1.892544522,0.039924259,136,3.76,0.45,0.18,0.31,3.2074,2.4202,5.6276,1.81692898
C7,C,P3,C7C,C7CP3,Corn,NK8840,,,,28.36,8.148,495.0666667,0.12606383,45.85490304,0.287306065,2.480608738,0.054096914,105.8,1.32,0.39,0.22,0.39,4.0686,2.8678,6.9364,1.506809
C8,A,P1,C8A,C8AP1,Corn,NK8840,,18.04741,120.54692,31.04,10.382,473.8673333,0.128752747,34.78365199,0.334471649,1.989790021,0.057204747,76.4,2.02,0.16,0.08,0.16,1.7224,0.8952,2.6176,0.364507515
C8,A,P2,C8A,C8AP2,Corn,NK8840,,,,9.699,3.42,404.607,0.101941799,89.69557749,0.352613672,1.835964912,0.020468845,74.6,1.6,0.29,0.18,0.33,3.4746,2.2578,5.7324,1.006648495
C8,A,P3,C8A,C8AP3,Corn,NK8840,,,,30.558,10.531,435.0714556,0.107671736,31.15390039,0.344623339,1.901718735,0.061042717,71,0.906,0.23,0.1,0.24,2.6874,0.7942,3.4816,0.710098677
C8,B,P1,C8B,C8BP1,Corn,NK8840,,18.04698,120.54655,20.849,7.03,282.3199444,0.097417957,30.43557966,0.337186436,1.96571835,0.064586197,66.6,2.45,0.4,0.17,0.36,3.9273,1.7399,5.6672,1.558477278
C8,B,P2,C8B,C8BP2,Corn,NK8840,,,,22.901,7.883,502.8611111,0.102137767,48.29855385,0.344220776,1.905112267,0.039444499,76.4,3.45,0.42,0.26,0.49,5.197,3.153,8.35,1.649034798
C8,B,P3,C8B,C8BP3,Corn,NK8840,,,,10.558,3.971,437.0605556,0.106150649,83.24685218,0.3761129,1.658776127,0.019925992,63.6,2.79,0.4,0.1,0.28,3.2218,0.4694,3.6912,1.564285182
C8,C,P1,C8C,C8CP1,Corn,NK8840,,18.04677,120.54673,31.746,10.712,598.7211333,0.122889207,42.13371686,0.337428337,1.963592233,0.046603822,73,3.51,0.31,0.12,0.19,1.9156,1.7488,3.6644,1.120492788
C8,C,P2,C8C,C8CP2,Corn,NK8840,,,,14.883,5.137,380.2828333,0.128030581,55.8867773,0.345158906,1.897216274,0.033947498,62.8,3.12,0.51,0.29,0.61,6.6445,3.0015,9.646,2.091663965
C8,C,P3,C8C,C8CP3,Corn,NK8840,,,,19.184,6.964,432.1797333,0.123316441,46.94030729,0.363010842,1.754738656,0.037382343,60.6,2.67,0.25,0.16,0.26,2.6432,2.2776,4.9208,0.811472646
C9,A,P1,C9A,C9AP1,Corn,glutinous white,,18.04604,120.54916,31.728,11.014,713.2778333,0.103955734,48.78291947,0.347138174,1.880697294,0.038552373,77.6,1.76,0.15,0.07,0.13,1.3735,0.8645,2.238,0.316874722
C9,A,P2,C9A,C9AP2,Corn,glutinous white,,,,52.571,19.307,1039.595267,0.142655213,40.47093671,0.367255711,1.722898431,0.042571252,104.4,0.939,0.6,0.39,0.67,6.9271,5.2573,12.1844,2.543882965
C9,A,P3,C9A,C9AP3,Corn,glutinous white,,,,25.909,9.717,576.1111111,0.114823529,44.66913656,0.375043421,1.666357929,0.037304458,69.4,1.5,0.09,0.05,0.06,0.5421,0.8843,1.4264,0.020688773
C9,B,P1,C9B,C9BP1,Corn,glutinous white,,18.04601,120.54906,33.86,12.008,645.5518,0.08687935,40.33040889,0.35463674,1.819786809,0.045121953,63.6,1.67,0.12,0.05,0.06,0.5421,0.8843,1.4264,0.172203924
C9,B,P2,C9B,C9BP2,Corn,glutinous white,,,,36.555,12.221,734.41,0.111111111,45.12718272,0.334318151,1.991162753,0.044123356,74.8,1.28,0.21,0.08,0.22,2.524,0.408,2.932,0.610433737
C9,B,P3,C9B,C9BP3,Corn,glutinous white,,,,30.885,10.54,574.6642222,0.109834101,41.0766129,0.341265987,1.930265655,0.046991841,103.6,1.61,0.31,0.15,0.25,2.5615,2.0845,4.646,1.11517553
C9,C,P1,C9C,C9CP1,Corn,glutinous white,,18.04586,120.54911,20.458,7.055,540.4913556,0.094735216,57.83552799,0.344852869,1.899787385,0.032848103,65.6,0.711,0.15,0.11,0.22,2.3683,1.2309,3.5992,0.308685207
C9,C,P2,C9C,C9CP2,Corn,glutinous white,,,,17.633,5.936,405.0465778,0.099717573,51.81650943,0.336641524,1.970518868,0.038028784,38.6,0.733,0.17,0.16,0.22,2.1088,2.6024,4.7112,0.411831596
C9,C,P3,C9C,C9CP3,Corn,glutinous white,,,,16.602,6.12,389.9849333,0.094032091,48.98878268,0.368630286,1.712745098,0.034961985,50,1.47,0.11,0.04,0.11,1.262,0.204,1.466,0.115772424
C10,A,P1,C10A,C10AP1,Corn,glutinous white,,18.04546,120.54876,30.131,10.757,573.8985222,0.106619718,40.36335177,0.357007733,1.801059775,0.044621165,77.6,5.22,0.11,0.03,0.1,1.1803,0.0109,1.1912,0.116445005
C10,A,P2,C10A,C10AP2,Corn,glutinous white,,,,22.799,7.828,463.0912,0.0934375,45.32120273,0.343348392,1.912493613,0.042198651,89,6.08,0.43,0.18,0.4,4.4098,1.6894,6.0992,1.706020333
C10,A,P3,C10A,C10AP3,Corn,glutinous white,,,,13.792,4.863,328.0804444,0.09980814,51.27001851,0.352595708,1.836109397,0.035812536,57.8,3.41,1.2,0.65,1.16,12.1241,8.4103,20.5344,5.531402611
C10,B,P1,C10B,C10BP1,Corn,glutinous white,,18.04529,120.54867,26.601,9.786,529.5715444,0.100013743,40.67044758,0.367880907,1.718270999,0.042248638,83,2.83,0.31,0.13,0.23,2.3981,1.6983,4.0964,1.116520692
C10,B,P2,C10B,C10BP2,Corn,glutinous white,,,,22.769,7.479,467.3159889,0.093845064,46.98496791,0.328472924,2.044390961,0.043511596,74.4,3.22,0.3,0.21,0.42,4.5213,2.3499,6.8712,1.048536773
C10,B,P3,C10B,C10BP3,Corn,glutinous white,,,,26.697,9.083,501.6666667,0.102380952,42.21072333,0.340225494,1.939227128,0.045941575,75.8,3.89,0.09,0.04,0.06,0.594,0.61,1.204,0.020261515
C10,C,P1,C10C,C10CP1,Corn,glutinous white,,18.04516,120.54859,19.553,6.525,414.8222222,0.129640542,49.87971264,0.333708382,1.996628352,0.040028866,77.8,3.07,0.4,0.23,0.46,4.9519,2.5737,7.5256,1.550042439
C10,C,P2,C10C,C10CP2,Corn,glutinous white,,,,10.38,3.888,307.0295778,0.083974642,60.10366512,0.374566474,1.669753086,0.027781219,61.8,3.26,0.32,0.17,0.31,3.2593,2.1459,5.4052,1.159936066
C10,C,P3,C10C,C10CP3,Corn,glutinous white,,,,22.466,8.83,532.3297556,0.115917364,45.56176387,0.393038369,1.544280861,0.033894229,80.6,2.89,0.35,0.14,0.38,4.3502,0.7546,5.1048,1.302470576
C11,A,P1,C11A,C11AP1,Corn,NK6410,,18.04647,120.54844,28.133,8.155,572.0760667,0.137084623,187.1265941,0.289873103,2.449785408,0.013091594,37,1.9,0.27,0.14,0.21,2.079,2.135,4.214,0.917127424
C11,A,P2,C11A,C11AP2,Corn,NK6410,,,,21.68,8.793,452.2983,0.133377218,39.19836518,0.405581181,1.465597634,0.037389254,36.4,1.51,0.24,0.08,0.15,1.5888,0.9764,2.5652,0.769647758
C11,A,P3,C11A,C11AP3,Corn,NK6410,,,,24.195,9.365,508.53,0.139856274,41.13614522,0.387063443,1.583555793,0.038495483,47.2,2.58,0.35,0.17,0.22,2.0569,2.8767,4.9336,1.321349763
C11,B,P1,C11B,C11BP1,Corn,NK6410,,18.04614,120.54839,17.54,7.607,383.1293889,0.140785942,38.26881819,0.433694413,1.305771,0.034121017,36.6,3.49,0.33,0.18,0.3,3.0738,2.5014,5.5752,1.211968212
C11,B,P2,C11B,C11BP2,Corn,NK6410,,,,20.897,8.451,443.0991667,0.126574648,39.67247367,0.404412117,1.472725121,0.03712209,54.8,5.35,0.24,0.16,0.31,3.3112,1.8716,5.1828,0.755468404
C11,B,P3,C11B,C11BP3,Corn,NK6410,,,,15.974,6.302,369.6933333,0.12507664,44.45294351,0.394516089,1.534750873,0.034525292,64.6,1.94,0.28,0.15,0.21,2.0271,2.4093,4.4364,0.968059732
C11,C,P1,C11C,C11CP1,Corn,NK6410,,18.04604,120.54816,20.506,8.012,437.2111111,0.120775623,41.6454849,0.390714913,1.559410884,0.037444897,41.2,4.35,0.14,0.06,0.09,0.891,0.915,1.806,0.270341768
C11,C,P2,C11C,C11CP2,Corn,NK6410,,,,15.625,5.816,366.8945333,0.142171916,48.01322215,0.372224,1.686554333,0.035126873,46.4,2.7,0.19,0.06,0.16,1.8262,0.3466,2.1728,0.515168152
C11,C,P3,C11C,C11CP3,Corn,NK6410,,,,20.876,8.177,530.2889889,0.128526207,49.78410481,0.391693811,1.553014553,0.031194988,62.6,2.88,0.1,0.03,0.07,0.7795,0.2545,1.034,0.06923947
C12,A,P1,C12A,C12AP1,Corn,NK6130,,18.04521,120.54776,24.215,8.684,560.4947444,0.102447048,48.7220319,0.35862069,1.788461538,0.03670745,48.8,3.19,0.19,0.05,0.12,1.3437,0.3971,1.7408,0.519140247
C12,A,P2,C12A,C12AP2,Corn,NK6130,,,,21.292,7.62,534.5894667,0.104278399,54.26864829,0.357880894,1.794225722,0.03306192,56.6,2.36,0.33,0.17,0.28,2.8585,2.3895,5.248,1.213740631
C12,A,P3,C12A,C12AP3,Corn,NK6130,,,,11.979,4.088,321.3833333,0.094124358,59.84678327,0.341263878,1.930283757,0.03225376,59.4,2.43,0.25,0.1,0.21,2.2866,1.0378,3.3244,0.814408293
C12,B,P1,C12B,C12BP1,Corn,NK6130,,18.04532,120.54754,15.944,6.85,371.14,0.117368109,40.68118613,0.4296287,1.327591241,0.032634035,66.8,2.57,0.27,0.15,0.25,2.5615,2.0845,4.646,0.913155328
C12,B,P2,C12B,C12BP2,Corn,NK6130,,,,28.417,5.962,588.8888889,0.117924528,74.63246394,0.209803991,3.766353573,0.050465352,89.8,4.02,0.29,0.16,0.27,2.7768,2.1964,4.9732,1.01239301
C12,B,P3,C12B,C12BP3,Corn,NK6130,,,,16.634,7.035,406.6852333,0.124734384,43.80095593,0.422928941,1.364463397,0.031151452,79.8,3.35,0.18,0.05,0.13,1.4773,0.3159,1.7932,0.467535359
C12,C,P1,C12C,C12CP1,Corn,NK6130,,18.04539,120.54759,16.687,5.982,332.6944444,0.102279369,42.55883484,0.358482651,1.789535272,0.042048502,78,1.72,0.2,0.1,0.17,1.7522,1.3626,3.1148,0.566282394
C12,C,P2,C12C,C12CP2,Corn,NK6130,,,,22.814,7.637,504.0903111,0.115257056,50.09123347,0.334750592,1.987298677,0.039673582,69.6,1.91,0.34,0.18,0.27,2.673,2.745,5.418,1.265772778
C12,C,P3,C12C,C12CP3,Corn,NK6130,,,,18.218,9.194,427.3355556,0.11033744,35.35886176,0.504665715,0.98150968,0.02775852,66.4,1.44,0.35,0.17,0.37,4.0609,1.6587,5.7196,1.304852187
C13,A,P1,C13A,C13AP1,Corn,,,,,11.418,3.592,236.027,0.127651163,49.89398664,0.314590997,2.178730512,0.043667196,110,,0.16,0.09,0.15,1.5369,1.2507,2.7876,0.366034611
C13,A,P2,C13A,C13AP2,Corn,,,,,12.209,5.266,246.1958889,0.106117647,35.05,0.431321157,1.318458033,0.037616492,45,,0.17,0.1,0.17,1.7522,1.3626,3.1148,0.414767242
C13,A,P3,C13A,C13AP3,Corn,,,,,10.576,3.7,290.8713111,0.109527814,59.03986486,0.349848714,1.858378378,0.031476671,21,,0.24,0.08,0.2,2.2568,0.5704,2.8272,0.764148566
C13,B,P1,C13B,C13BP1,Corn,,,,,27.837,9.902,442.8169889,0.108902248,33.83201626,0.355713619,1.811250252,0.053536574,,,0.54,0.33,0.52,5.2345,4.8295,10.064,2.254786692
C13,B,P2,C13B,C13BP2,Corn,,,,,20.942,7.911,704.4446444,0.091869052,66.73444255,0.377757616,1.647200101,0.024682908,,,0.45,0.19,0.34,3.5563,2.4509,6.0072,1.814056722
C13,B,P3,C13B,C13BP3,Corn,,,,,39.268,10.865,665.102,0.098914634,45.96979521,0.276688398,2.614173953,0.056867209,,,0.39,0.18,0.38,4.1426,1.8518,5.9944,1.506199808
C13,C,P1,C13C,C13CP1,Corn,,,,,31.359,11.731,575.3634889,0.10156333,36.77757438,0.374087184,1.673173642,0.045494399,,,0.69,0.37,0.63,6.4965,5.0335,11.53,3.001973258
C13,C,P2,C13C,C13CP2,Corn,,,,,25.303,7.874,502.5281778,0.09412865,47.84377699,0.311188397,2.213487427,0.046264897,,,0.64,0.37,0.64,6.6301,4.9523,11.5824,2.748348167
C13,C,P3,C13C,C13CP3,Corn,,,,,11.221,5.956,399.2111111,0.100475939,50.60541051,0.530790482,0.883982539,0.017468143,,,0.51,0.25,0.44,4.5809,3.2847,7.8656,2.108652187
C14,A,P1,C14A,C14AP1,Corn,DEKALB 6919,,18.0541,120.543,31.902,12.51,672.0123222,0.128085596,40.52422462,0.392138424,1.550119904,0.038251686,,1.66,0.41,0.28,0.45,4.5588,4.0264,8.5852,1.603783616
C14,A,P2,C14A,C14AP2,Corn,DEKALB 6919,,,,21.903,4.655,444.0250556,0.132755043,72.1608754,0.212527964,3.705263158,0.051347259,,1.43,0.34,0.16,0.26,2.6432,2.2776,4.9208,1.266018101
C14,A,P3,C14A,C14AP3,Corn,DEKALB 6919,,,,30.832,10.155,666.1489444,0.122198646,49.42066224,0.329365594,2.036139833,0.041200173,,0.757,0.29,0.11,0.25,2.7691,0.9873,3.7564,1.012456399
C14,B,P1,C14B,C14BP1,Corn,DEKALB 6919,,18.05396,120.54296,27.54,10.198,576.9910444,0.127517344,42.70672191,0.370297749,1.700529516,0.039818779,,1.05,0.14,0.06,0.14,1.559,0.509,2.068,0.264842576
C14,B,P2,C14B,C14BP2,Corn,DEKALB 6919,,,,36.095,12.739,677.5356,0.124624774,40.10741424,0.352929769,1.833424916,0.045712868,,1.41,0.69,0.4,0.69,7.1424,5.3692,12.5116,2.996656
C14,B,P3,C14B,C14BP3,Corn,DEKALB 6919,,,,17.845,6.586,410.9622222,0.111416026,47.54820832,0.369066966,1.709535378,0.035953729,,1.72,0.28,0.08,0.18,1.9896,0.7328,2.7224,0.968368444
C14,C,P1,C14C,C14CP1,Corn,DEKALB 6919,,18.05417,120.54259,27.012,10.1,678.0726667,0.127242009,50.49592822,0.373907893,1.674455446,0.033160207,,,0.64,0.35,0.62,6.4667,4.5661,11.0328,2.749693328
C14,C,P2,C14C,C14CP2,Corn,DEKALB 6919,,,,29.664,10.633,588.3962556,0.130944804,41.76439622,0.35844795,1.789805323,0.042854811,,,0.78,0.45,0.73,7.4173,6.4159,13.8332,3.448938389
C14,C,P3,C14C,C14CP3,Corn,DEKALB 6919,,,,45.92,14.974,841.3580667,0.141782778,42.16273207,0.32608885,2.066648858,0.049016009,,,0.39,0.23,0.49,5.3527,2.3301,7.6828,1.496237874
